,gpa,major,gmat,work_exp,admission
0,3.3,Business,620.0,3.0,Admit
1,3.28,Humanities,680.0,5.0,Rejected
2,3.3,Business,710.0,5.0,Admit
3,3.47,STEM,690.0,6.0,Rejected
4,3.35,STEM,590.0,5.0,Rejected
5,3.18,Business,610.0,6.0,Rejected
6,2.93,STEM,590.0,3.0,Admit
7,3.02,Business,630.0,6.0,Rejected
8,3.24,Business,590.0,2.0,Rejected
9,3.27,Humanities,690.0,3.0,Rejected
10,3.05,Humanities,580.0,5.0,Rejected
11,2.85,Humanities,580.0,4.0,Rejected
12,3.24,Humanities,640.0,6.0,Waitlist
13,3.39,Business,690.0,4.0,Rejected
14,3.03,STEM,600.0,5.0,Admit
15,3.05,Humanities,710.0,4.0,Admit
16,3.32,Business,710.0,5.0,Admit
17,3.23,Humanities,700.0,4.0,Rejected
18,3.13,Humanities,630.0,6.0,Rejected
19,3.09,Business,670.0,8.0,Rejected
20,3.46,Business,760.0,5.0,Admit
21,3.64,Humanities,710.0,6.0,Rejected
22,3.42,Business,640.0,6.0,Admit
23,3.4,Business,680.0,6.0,Rejected
24,3.47,STEM,710.0,5.0,Admit
25,3.26,Humanities,690.0,5.0,Admit
26,2.99,STEM,640.0,5.0,Rejected
27,3.39,STEM,730.0,4.0,Rejected
28,3.08,Business,570.0,7.0,Rejected
29,3.65,STEM,700.0,5.0,Admit
30,3.04,STEM,610.0,4.0,Rejected
31,3.19,Humanities,580.0,5.0,Rejected
32,3.33,Humanities,700.0,6.0,Rejected
33,3.53,STEM,710.0,5.0,Admit
34,3.5,Business,650.0,7.0,Rejected
35,3.22,Humanities,670.0,4.0,Rejected
36,3.5,STEM,720.0,5.0,Rejected
37,3.16,STEM,590.0,4.0,Rejected
38,3.3,Humanities,740.0,6.0,Admit
39,3.45,Humanities,640.0,3.0,Admit
40,3.12,Business,610.0,4.0,Admit
41,3.41,Business,600.0,7.0,Admit
42,3.38,Humanities,720.0,5.0,Rejected
43,2.93,Humanities,590.0,4.0,Admit
44,3.27,STEM,650.0,5.0,Rejected
45,3.32,STEM,730.0,4.0,Rejected
46,3.13,Humanities,610.0,5.0,Rejected
47,3.33,STEM,720.0,7.0,Admit
48,3.23,STEM,660.0,6.0,Rejected
49,3.38,STEM,680.0,5.0,Rejected
50,3.26,Business,670.0,6.0,Waitlist
51,3.43,Business,650.0,4.0,Rejected
52,3.19,Business,650.0,5.0,Rejected
53,3.23,STEM,700.0,6.0,Admit
54,2.96,STEM,610.0,6.0,Rejected
55,3.44,STEM,680.0,4.0,Rejected
56,3.09,Business,610.0,6.0,Rejected
57,3.05,Business,650.0,7.0,Admit
58,3.01,Humanities,660.0,6.0,Rejected
59,3.41,Humanities,740.0,4.0,Rejected
60,3.27,Business,670.0,5.0,Admit
61,3.13,Humanities,630.0,5.0,Rejected
62,3.0,STEM,640.0,3.0,Admit
63,3.36,STEM,650.0,5.0,Rejected
64,3.39,Humanities,680.0,5.0,Admit
65,3.31,Business,670.0,4.0,Rejected
66,3.07,STEM,570.0,6.0,Rejected
67,3.53,STEM,690.0,5.0,Rejected
68,3.49,Business,620.0,4.0,Rejected
69,3.41,Humanities,690.0,6.0,Admit
70,3.34,STEM,690.0,5.0,Rejected
71,3.33,Humanities,680.0,5.0,Waitlist
72,3.34,STEM,680.0,5.0,Admit
73,2.89,Humanities,670.0,5.0,Admit
74,3.35,Business,640.0,5.0,Admit
75,3.24,Humanities,590.0,4.0,Waitlist
76,3.18,Humanities,640.0,4.0,Rejected
77,3.2,Humanities,640.0,5.0,Rejected
78,3.17,Business,640.0,4.0,Rejected
79,3.1,STEM,680.0,4.0,Admit
80,2.93,Humanities,620.0,4.0,Rejected
81,3.2,STEM,730.0,4.0,Rejected
82,3.52,STEM,610.0,6.0,Rejected
83,3.35,Humanities,710.0,6.0,Admit
84,3.15,STEM,620.0,4.0,Rejected
85,3.21,Business,640.0,6.0,Rejected
86,3.1,Business,670.0,7.0,Rejected
87,3.48,Business,710.0,5.0,Admit
88,3.15,Humanities,650.0,6.0,Rejected
89,3.09,Business,610.0,6.0,Rejected
90,3.14,Humanities,660.0,6.0,Rejected
91,2.97,STEM,580.0,4.0,Rejected
92,3.17,STEM,670.0,5.0,Rejected
93,3.23,Humanities,620.0,7.0,Admit
94,3.05,Humanities,600.0,5.0,Admit
95,3.32,Business,670.0,4.0,Admit
96,3.08,Humanities,640.0,5.0,Rejected
97,3.36,STEM,690.0,5.0,Rejected
98,3.1,Humanities,610.0,5.0,Rejected
99,3.38,Humanities,660.0,5.0,Admit
100,3.26,Humanities,650.0,6.0,Rejected
101,3.2,Humanities,600.0,4.0,Rejected
102,3.65,Humanities,700.0,6.0,Rejected
103,3.34,Business,650.0,5.0,Admit
104,3.3,Humanities,670.0,4.0,Admit
105,3.11,Business,610.0,6.0,Rejected
106,3.08,Humanities,740.0,4.0,Rejected
107,3.2,STEM,590.0,5.0,Rejected
108,3.3,STEM,590.0,5.0,Rejected
109,3.21,Humanities,610.0,4.0,Rejected
110,3.26,Humanities,670.0,6.0,Rejected
111,3.29,STEM,640.0,6.0,Rejected
112,3.25,Humanities,640.0,5.0,Rejected
113,3.2,Humanities,680.0,7.0,Admit
114,3.23,STEM,610.0,5.0,Admit
115,3.32,Humanities,670.0,4.0,Rejected
116,3.46,STEM,660.0,5.0,Admit
117,3.29,Humanities,610.0,4.0,Rejected
118,3.33,Humanities,680.0,4.0,Admit
119,2.99,Humanities,570.0,6.0,Admit
120,3.22,Business,610.0,5.0,Rejected
121,3.29,Business,710.0,4.0,Admit
122,3.26,Humanities,650.0,4.0,Rejected
123,3.25,Humanities,620.0,6.0,Rejected
124,3.32,STEM,630.0,6.0,Rejected
125,3.44,Business,740.0,6.0,Rejected
126,3.4,Humanities,730.0,5.0,Rejected
127,3.51,Humanities,700.0,7.0,Rejected
128,3.43,Humanities,710.0,7.0,Rejected
129,3.27,Business,660.0,6.0,Admit
130,3.34,Humanities,700.0,4.0,Admit
131,3.07,Humanities,640.0,6.0,Rejected
132,3.36,Humanities,670.0,2.0,Rejected
133,3.21,Humanities,690.0,7.0,Rejected
134,3.28,Humanities,610.0,6.0,Admit
135,3.06,Business,650.0,5.0,Rejected
136,3.32,Business,670.0,4.0,Rejected
137,3.33,Humanities,670.0,5.0,Rejected
138,3.31,STEM,600.0,5.0,Admit
139,3.16,STEM,570.0,5.0,Rejected
140,3.2,STEM,600.0,6.0,Rejected
141,3.17,STEM,600.0,4.0,Rejected
142,3.48,STEM,780.0,5.0,Admit
143,3.1,STEM,570.0,5.0,Rejected
144,2.95,Business,590.0,5.0,Rejected
145,3.32,Humanities,570.0,6.0,Rejected
146,3.24,Humanities,660.0,7.0,Rejected
147,3.21,STEM,580.0,6.0,Rejected
148,3.32,Humanities,660.0,4.0,Rejected
149,3.2,Humanities,630.0,6.0,Rejected
150,3.37,Business,710.0,5.0,Admit
151,3.14,Humanities,620.0,5.0,Rejected
152,3.32,Humanities,650.0,5.0,Admit
153,3.13,Business,580.0,4.0,Admit
154,3.55,Humanities,680.0,6.0,Admit
155,3.22,STEM,620.0,5.0,Rejected
156,3.42,STEM,630.0,6.0,Rejected
157,3.18,STEM,650.0,6.0,Admit
158,3.14,STEM,620.0,6.0,Rejected
159,3.24,Humanities,680.0,7.0,Rejected
160,3.3,Business,630.0,3.0,Rejected
161,3.2,STEM,610.0,4.0,Admit
162,3.41,Humanities,710.0,4.0,Rejected
163,3.03,STEM,570.0,5.0,Rejected
164,3.3,Humanities,640.0,9.0,Rejected
165,3.17,STEM,600.0,4.0,Admit
166,3.43,Business,680.0,3.0,Admit
167,3.36,STEM,700.0,5.0,Admit
168,3.15,STEM,650.0,5.0,Admit
169,3.23,Business,680.0,6.0,Admit
170,3.36,Humanities,710.0,4.0,Admit
171,3.0,STEM,570.0,6.0,Rejected
172,3.25,Humanities,640.0,7.0,Rejected
173,3.15,Humanities,620.0,3.0,Rejected
174,3.17,STEM,630.0,6.0,Admit
175,2.97,STEM,610.0,6.0,Rejected
176,3.25,Humanities,670.0,5.0,Admit
177,3.33,Humanities,640.0,3.0,Rejected
178,3.43,Business,680.0,3.0,Rejected
179,3.17,Humanities,670.0,4.0,Rejected
180,3.4,Business,750.0,4.0,Rejected
181,3.24,STEM,600.0,5.0,Rejected
182,3.34,Humanities,700.0,5.0,Admit
183,3.29,Humanities,660.0,6.0,Rejected
184,3.04,Business,660.0,6.0,Rejected
185,3.4,Humanities,690.0,6.0,Admit
186,3.01,Humanities,670.0,6.0,Rejected
187,3.54,STEM,700.0,5.0,Rejected
188,3.23,STEM,710.0,6.0,Rejected
189,3.15,Humanities,650.0,6.0,Rejected
190,3.32,Humanities,730.0,5.0,Admit
191,3.47,Business,690.0,7.0,Rejected
192,3.29,Business,590.0,3.0,Rejected
193,3.2,STEM,690.0,5.0,Rejected
194,3.48,Humanities,670.0,5.0,Admit
195,3.14,Business,600.0,3.0,Admit
196,3.45,Humanities,620.0,5.0,Rejected
197,3.31,STEM,620.0,3.0,Rejected
198,3.6,Humanities,670.0,5.0,Admit
199,3.5,STEM,700.0,6.0,Admit
200,3.61,Business,690.0,5.0,Rejected
201,3.11,STEM,650.0,5.0,Rejected
202,3.1,Humanities,580.0,6.0,Rejected
203,3.06,STEM,620.0,6.0,Rejected
204,3.18,Business,630.0,3.0,Rejected
205,3.05,Humanities,570.0,8.0,Rejected
206,3.45,Humanities,700.0,6.0,Admit
207,3.26,Business,630.0,6.0,Admit
208,3.35,Business,660.0,5.0,Admit
209,3.23,Business,670.0,5.0,Admit
210,3.11,Business,640.0,4.0,Rejected
211,3.44,Business,750.0,5.0,Admit
212,3.14,Humanities,580.0,5.0,Rejected
213,3.24,Business,660.0,6.0,Admit
214,3.43,Humanities,610.0,5.0,Rejected
215,3.27,STEM,600.0,5.0,Rejected
216,3.41,Humanities,670.0,5.0,Rejected
217,3.02,Humanities,570.0,4.0,Admit
218,3.24,STEM,670.0,3.0,Rejected
219,3.23,STEM,630.0,5.0,Rejected
220,3.09,Humanities,690.0,5.0,Rejected
221,3.64,STEM,680.0,4.0,Rejected
222,3.71,STEM,720.0,6.0,Rejected
223,3.19,Business,630.0,5.0,Admit
224,3.24,STEM,670.0,4.0,Admit
225,3.01,Humanities,610.0,4.0,Rejected
226,3.4,Business,630.0,4.0,Rejected
227,3.18,Humanities,650.0,5.0,Rejected
228,3.39,Humanities,650.0,6.0,Rejected
229,3.06,STEM,640.0,6.0,Rejected
230,3.01,Business,610.0,6.0,Rejected
231,3.34,Business,590.0,5.0,Rejected
232,3.34,STEM,680.0,8.0,Rejected
233,3.33,STEM,720.0,5.0,Admit
234,3.4,STEM,680.0,4.0,Rejected
235,3.02,STEM,590.0,5.0,Rejected
236,3.49,Humanities,720.0,3.0,Rejected
237,3.45,Humanities,710.0,4.0,Rejected
238,3.33,Humanities,660.0,5.0,Rejected
239,3.27,Humanities,680.0,5.0,Rejected
240,3.15,Business,620.0,6.0,Admit
241,3.11,STEM,620.0,4.0,Admit
242,3.15,Humanities,590.0,5.0,Rejected
243,3.11,Business,600.0,7.0,Rejected
244,3.17,Business,640.0,6.0,Rejected
245,3.02,STEM,570.0,5.0,Admit
246,3.04,STEM,630.0,5.0,Rejected
247,3.22,STEM,650.0,5.0,Rejected
248,3.77,STEM,780.0,5.0,Rejected
249,3.31,Business,590.0,5.0,Rejected
250,3.3,Humanities,660.0,4.0,Rejected
251,3.26,Humanities,690.0,4.0,Rejected
252,3.1,Humanities,570.0,5.0,Rejected
253,3.61,Humanities,740.0,6.0,Admit
254,3.33,Business,620.0,5.0,Rejected
255,3.28,Humanities,750.0,3.0,Rejected
256,3.47,STEM,730.0,4.0,Rejected
257,3.27,Humanities,640.0,4.0,Rejected
258,3.33,STEM,670.0,3.0,Rejected
259,3.28,Humanities,650.0,5.0,Rejected
260,3.32,Humanities,750.0,4.0,Rejected
261,3.1,Business,620.0,6.0,Rejected
262,3.21,Business,630.0,6.0,Rejected
263,3.12,Humanities,620.0,4.0,Rejected
264,3.05,Humanities,600.0,5.0,Rejected
265,3.31,Humanities,620.0,5.0,Rejected
266,3.28,STEM,600.0,5.0,Rejected
267,2.95,Humanities,600.0,5.0,Rejected
268,3.19,STEM,690.0,4.0,Rejected
269,3.34,Humanities,670.0,5.0,Admit
270,3.34,Business,620.0,4.0,Admit
271,3.43,Humanities,680.0,5.0,Rejected
272,3.23,Humanities,670.0,6.0,Admit
273,3.31,STEM,650.0,4.0,Rejected
274,3.3,STEM,650.0,5.0,Rejected
275,3.05,Humanities,630.0,5.0,Admit
276,3.52,Humanities,770.0,3.0,Rejected
277,3.15,Business,570.0,5.0,Rejected
278,3.11,Business,660.0,6.0,Rejected
279,3.05,Business,610.0,5.0,Rejected
280,3.04,Business,570.0,5.0,Rejected
281,3.3,Business,650.0,6.0,Rejected
282,3.58,Business,740.0,4.0,Admit
283,2.97,Humanities,590.0,4.0,Admit
284,3.29,STEM,630.0,5.0,Rejected
285,3.49,Business,780.0,6.0,Admit
286,3.33,STEM,640.0,7.0,Admit
287,3.14,Business,580.0,2.0,Rejected
288,3.42,STEM,750.0,3.0,Admit
289,3.18,STEM,600.0,4.0,Rejected
290,2.98,Business,630.0,7.0,Rejected
291,2.99,Humanities,630.0,6.0,Admit
292,3.1,Business,600.0,7.0,Rejected
293,3.35,Business,670.0,5.0,Admit
294,2.95,Humanities,570.0,4.0,Rejected
295,3.16,Business,580.0,5.0,Rejected
296,3.34,Humanities,570.0,5.0,Admit
297,3.14,Business,660.0,5.0,Rejected
298,3.1,STEM,630.0,4.0,Rejected
299,3.21,Humanities,660.0,3.0,Rejected
300,3.37,Business,690.0,5.0,Rejected
301,3.36,Business,720.0,4.0,Admit
302,3.2,Humanities,650.0,6.0,Rejected
303,3.15,Business,620.0,6.0,Rejected
304,3.53,STEM,660.0,5.0,Admit
305,3.24,Humanities,660.0,6.0,Rejected
306,3.25,Humanities,710.0,6.0,Admit
307,3.34,Humanities,760.0,4.0,Admit
308,3.16,STEM,650.0,5.0,Rejected
