age,education.num,occupation,race,sex,hours.per.week,income
82,9,Exec-managerial,White,Female,18,<=50K
54,4,Machine-op-inspct,White,Female,40,<=50K
41,10,Prof-specialty,White,Female,40,<=50K
34,9,Other-service,White,Female,45,<=50K
38,6,Adm-clerical,White,Male,40,<=50K
74,16,Prof-specialty,White,Female,20,>50K
68,9,Prof-specialty,White,Female,40,<=50K
41,10,Craft-repair,White,Male,60,>50K
45,16,Prof-specialty,Black,Female,35,>50K
38,15,Prof-specialty,White,Male,45,>50K
52,13,Other-service,White,Female,20,>50K
32,14,Exec-managerial,White,Male,55,>50K
46,15,Prof-specialty,White,Male,40,>50K
45,7,Transport-moving,White,Male,76,>50K
57,14,Exec-managerial,White,Male,50,>50K
22,12,Handlers-cleaners,Black,Male,40,>50K
34,13,Sales,White,Male,50,>50K
37,13,Exec-managerial,White,Male,40,>50K
29,7,Sales,White,Female,42,<=50K
61,9,Sales,White,Female,25,<=50K
51,10,Transport-moving,White,Male,40,<=50K
21,11,Craft-repair,White,Male,40,<=50K
33,2,Craft-repair,White,Male,32,<=50K
49,3,Other-service,White,Male,40,<=50K
37,6,Transport-moving,White,Male,50,>50K
38,6,Prof-specialty,White,Male,90,>50K
23,10,Other-service,White,Male,40,>50K
59,6,Exec-managerial,White,Female,50,>50K
52,15,Exec-managerial,White,Male,60,>50K
51,13,Exec-managerial,White,Male,50,>50K
60,9,Exec-managerial,Black,Male,50,>50K
63,16,Exec-managerial,White,Female,60,>50K
53,9,Sales,White,Male,48,>50K
51,15,Prof-specialty,White,Female,50,>50K
37,16,Prof-specialty,White,Female,60,>50K
54,14,Prof-specialty,White,Female,40,>50K
44,13,Exec-managerial,White,Male,50,>50K
43,14,Exec-managerial,White,Female,40,>50K
51,10,Adm-clerical,White,Female,40,>50K
43,14,Prof-specialty,White,Female,40,>50K
48,13,Sales,White,Female,70,>50K
71,9,Sales,White,Male,52,<=50K
73,9,Farming-fishing,Asian-Pac-Islander,Male,40,<=50K
40,15,Prof-specialty,White,Male,45,>50K
50,9,Sales,White,Female,72,>50K
51,11,Tech-support,White,Male,39,>50K
