Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,53.0,53.0,34.0,11.2,21.5,0.523,2.1,5.7,0.359,9.2,15.8,0.583,0.571,7.9,8.8,0.897,0.9,4.2,5.1,6.1,1.9,1.0,2.5,2.2,32.5,
2.0,Giannis Antetokounmpo,30.0,MIL,PF,41.0,41.0,34.9,12.7,20.9,0.608,0.1,0.8,0.188,12.6,20.1,0.624,0.611,6.2,10.7,0.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,
3.0,Nikola Jokić,29.0,DEN,C,49.0,49.0,36.0,11.3,19.7,0.577,2.0,4.5,0.45,9.3,15.2,0.615,0.629,5.0,6.1,0.823,3.0,9.6,12.6,10.2,1.8,0.7,3.1,2.2,29.8,
4.0,Tyrese Maxey,24.0,PHI,PG,46.0,46.0,38.0,9.6,21.5,0.447,3.3,9.6,0.346,6.3,11.9,0.528,0.524,5.0,5.8,0.872,0.3,3.2,3.5,6.1,1.9,0.4,2.5,2.3,27.6,
5.0,Anthony Edwards,23.0,MIN,SG,54.0,54.0,36.7,9.1,20.8,0.44,4.2,10.1,0.414,4.9,10.7,0.464,0.54,5.0,5.9,0.843,0.8,5.0,5.8,4.5,1.2,0.6,3.5,1.9,27.5,
6.0,LaMelo Ball,23.0,CHO,PG,33.0,33.0,32.7,9.5,22.8,0.416,4.0,11.9,0.338,5.5,10.8,0.503,0.505,4.3,5.3,0.822,0.9,4.2,5.1,7.2,1.3,0.3,3.6,3.3,27.3,
7.0,Kevin Durant,36.0,PHO,PF,41.0,41.0,36.5,10.0,18.7,0.532,2.4,5.9,0.404,7.6,12.9,0.59,0.595,5.1,6.1,0.825,0.4,5.6,6.0,4.2,0.9,1.4,3.1,1.8,27.3,
8.0,Luka Dončić,25.0,2TM,PG,24.0,24.0,34.7,9.5,20.5,0.46,3.3,9.5,0.348,6.2,11.1,0.556,0.541,4.8,6.4,0.753,0.8,7.3,8.0,7.5,1.9,0.4,3.4,2.8,27.0,
9.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
10.0,Luka Dončić,25.0,LAL,PG,2.0,2.0,23.5,5.5,13.5,0.407,2.0,7.5,0.267,3.5,6.0,0.583,0.481,2.0,4.0,0.5,1.0,3.5,4.5,4.0,0.5,0.5,3.0,4.0,15.0,
11.0,Jayson Tatum,26.0,BOS,PF,52.0,52.0,36.4,9.1,20.1,0.455,3.6,10.2,0.358,5.5,9.9,0.553,0.545,5.1,6.5,0.795,0.6,8.1,8.7,5.6,1.2,0.5,2.8,2.2,27.0,
12.0,Devin Booker,28.0,PHO,SG,48.0,48.0,37.2,8.6,18.9,0.453,2.6,7.7,0.339,6.0,11.2,0.532,0.522,6.4,7.2,0.896,1.0,3.1,4.0,6.7,1.0,0.3,2.7,2.4,26.2,
13.0,Jalen Brunson,28.0,NYK,PG,53.0,53.0,35.2,9.0,18.3,0.492,2.3,5.8,0.397,6.7,12.5,0.535,0.555,5.8,7.1,0.816,0.4,2.4,2.8,7.5,0.9,0.1,2.4,2.2,26.1,
14.0,Damian Lillard,34.0,MIL,PG,44.0,44.0,36.5,8.0,17.6,0.452,3.5,9.1,0.382,4.5,8.5,0.527,0.55,6.4,6.9,0.921,0.6,4.2,4.7,7.5,1.2,0.2,3.0,1.8,25.8,
15.0,Anthony Davis,31.0,2TM,PF,43.0,43.0,34.2,9.5,18.0,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,
16.0,Anthony Davis,31.0,LAL,C,42.0,42.0,34.3,9.5,18.0,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,
17.0,Anthony Davis,31.0,DAL,PF,1.0,1.0,31.0,10.0,18.0,0.556,2.0,2.0,1.0,8.0,16.0,0.5,0.611,4.0,6.0,0.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,
18.0,Cade Cunningham,23.0,DET,PG,50.0,50.0,35.5,9.5,20.9,0.455,2.2,6.3,0.351,7.3,14.6,0.5,0.508,4.2,4.9,0.85,0.9,5.5,6.3,9.4,0.9,0.8,4.4,2.6,25.4,
19.0,Franz Wagner,23.0,ORL,SF,36.0,36.0,33.0,9.1,19.5,0.465,2.0,6.3,0.317,7.1,13.2,0.536,0.516,4.9,5.7,0.864,1.0,4.6,5.6,4.9,1.4,0.4,2.3,2.5,25.1,
20.0,Joel Embiid,30.0,PHI,C,17.0,17.0,30.4,7.8,17.2,0.454,1.4,4.1,0.333,6.5,13.2,0.491,0.493,7.9,9.1,0.87,1.9,6.6,8.5,4.5,0.8,1.0,3.4,2.3,24.9,
21.0,Cam Thomas,23.0,BRK,SG,19.0,17.0,32.3,7.9,17.7,0.448,2.8,7.6,0.375,5.1,10.2,0.503,0.528,5.9,6.8,0.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,
22.0,Karl-Anthony Towns,29.0,NYK,C,49.0,49.0,34.9,8.9,16.6,0.534,2.1,4.8,0.438,6.8,11.9,0.572,0.596,4.9,5.8,0.842,3.1,10.3,13.4,3.3,1.0,0.8,2.6,3.5,24.7,
23.0,De'Aaron Fox,27.0,2TM,PG,50.0,50.0,36.8,9.1,19.3,0.471,2.0,6.1,0.319,7.1,13.1,0.543,0.522,4.5,5.5,0.822,1.0,3.9,4.8,6.3,1.5,0.4,2.9,2.7,24.6,
24.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,37.0,9.2,19.6,0.469,2.0,6.4,0.322,7.2,13.3,0.539,0.521,4.5,5.5,0.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,
25.0,De'Aaron Fox,27.0,SAS,PG,5.0,5.0,35.8,8.0,16.0,0.5,1.2,4.2,0.286,6.8,11.8,0.576,0.538,4.4,5.8,0.759,0.6,2.8,3.4,7.8,1.8,0.0,2.0,3.8,21.6,
26.0,Kyrie Irving,32.0,DAL,SG,44.0,44.0,36.6,9.0,18.8,0.478,2.9,7.1,0.413,6.0,11.7,0.517,0.556,3.8,4.2,0.902,1.2,3.6,4.8,4.8,1.3,0.4,2.3,2.0,24.6,
27.0,Zion Williamson,24.0,NOP,PF,18.0,18.0,28.2,9.3,17.1,0.547,0.2,0.7,0.25,9.2,16.4,0.559,0.552,5.6,8.6,0.649,2.7,4.7,7.4,5.0,1.3,0.9,3.1,3.0,24.4,
28.0,LeBron James,40.0,LAL,SF,48.0,48.0,34.5,9.3,18.1,0.516,2.2,5.6,0.395,7.1,12.4,0.571,0.578,3.4,4.5,0.759,0.9,6.9,7.7,9.0,0.9,0.5,3.8,1.4,24.3,
29.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,
30.0,Norman Powell,31.0,LAC,SG,45.0,45.0,33.6,8.4,17.0,0.496,3.4,7.8,0.428,5.1,9.1,0.555,0.595,4.0,4.9,0.819,0.4,3.2,3.6,2.2,1.3,0.2,2.1,1.9,24.2,
31.0,Tyler Herro,25.0,MIA,SG,51.0,51.0,35.6,8.3,17.8,0.465,3.7,9.7,0.38,4.6,8.1,0.567,0.569,3.6,4.2,0.854,0.4,5.2,5.5,5.5,0.8,0.1,2.7,1.4,23.9,
32.0,Donovan Mitchell,28.0,CLE,SG,51.0,51.0,31.3,8.4,18.6,0.454,3.6,9.2,0.391,4.8,9.4,0.516,0.551,3.5,4.2,0.835,0.7,3.7,4.4,4.8,1.4,0.2,2.0,2.0,23.9,
33.0,Zach LaVine,29.0,2TM,SF,48.0,48.0,34.5,8.5,16.9,0.501,3.1,7.3,0.422,5.4,9.6,0.562,0.592,3.6,4.4,0.817,0.3,4.3,4.6,4.6,0.9,0.2,2.8,1.5,23.7,
34.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,34.1,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,
35.0,Zach LaVine,29.0,SAC,SG,6.0,6.0,37.2,7.3,17.0,0.431,2.0,7.7,0.261,5.3,9.3,0.571,0.49,4.8,5.2,0.935,0.3,2.7,3.0,5.0,1.0,0.2,2.3,1.7,21.5,
36.0,Trae Young,26.0,ATL,PG,51.0,51.0,36.2,7.3,18.0,0.407,2.9,8.7,0.336,4.4,9.2,0.473,0.489,6.1,7.1,0.857,0.5,2.7,3.2,11.5,1.2,0.2,4.8,2.0,23.7,
37.0,Stephen Curry,36.0,GSW,PG,46.0,46.0,32.2,7.8,18.0,0.434,4.4,11.2,0.39,3.4,6.8,0.508,0.556,3.5,3.7,0.924,0.6,4.0,4.5,6.1,1.0,0.5,2.9,1.3,23.4,
38.0,Jaren Jackson Jr.,25.0,MEM,C,52.0,52.0,29.8,8.3,16.8,0.495,1.9,5.3,0.364,6.4,11.5,0.556,0.553,4.5,5.8,0.772,1.4,4.6,6.0,2.2,1.3,1.6,2.3,3.3,23.0,
39.0,Jaylen Brown,28.0,BOS,SF,46.0,46.0,35.3,8.5,18.5,0.461,1.9,6.0,0.324,6.6,12.5,0.526,0.513,4.0,5.3,0.746,1.4,4.6,6.0,4.8,1.2,0.3,2.7,2.6,22.9,
40.0,Paolo Banchero,22.0,ORL,PF,22.0,22.0,33.2,8.0,18.7,0.427,1.7,5.5,0.303,6.3,13.2,0.479,0.472,4.9,7.5,0.652,1.1,6.0,7.1,5.0,0.6,0.8,3.1,2.2,22.5,
41.0,CJ McCollum,33.0,NOP,PG,41.0,41.0,33.5,8.4,18.5,0.455,3.2,8.3,0.382,5.3,10.2,0.514,0.541,2.5,3.4,0.723,0.7,3.0,3.7,3.7,0.8,0.5,1.8,2.3,22.5,
42.0,Trey Murphy III,24.0,NOP,SF,39.0,37.0,35.6,7.5,16.2,0.463,3.2,8.5,0.376,4.3,7.7,0.56,0.562,4.3,4.8,0.888,0.8,4.3,5.2,3.6,1.2,0.7,1.8,2.2,22.4,
43.0,Brandon Ingram,27.0,NOP,SF,18.0,18.0,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,
44.0,DeMar DeRozan,35.0,SAC,SF,50.0,50.0,36.0,8.1,16.6,0.487,1.0,2.9,0.34,7.1,13.7,0.518,0.517,4.7,5.5,0.864,0.5,3.3,3.9,3.7,1.0,0.4,1.4,1.9,21.9,
45.0,RJ Barrett,24.0,TOR,SF,42.0,42.0,33.2,8.2,17.3,0.473,1.8,5.2,0.35,6.4,12.1,0.527,0.526,3.5,5.4,0.648,1.0,5.6,6.6,5.6,0.9,0.3,3.0,2.6,21.7,
46.0,Darius Garland,25.0,CLE,PG,52.0,52.0,30.2,7.8,15.6,0.498,3.0,7.0,0.431,4.8,8.6,0.552,0.594,3.1,3.5,0.875,0.6,1.9,2.5,6.7,1.1,0.2,2.5,2.1,21.6,
47.0,James Harden,35.0,LAC,PG,51.0,51.0,34.3,6.3,15.9,0.394,2.8,8.2,0.342,3.5,7.7,0.449,0.482,6.1,6.9,0.887,0.6,5.2,5.8,8.6,1.5,0.6,4.5,2.1,21.5,
48.0,Jalen Green,22.0,HOU,SG,55.0,55.0,33.2,7.5,17.6,0.425,2.8,8.1,0.35,4.7,9.5,0.489,0.505,3.4,4.0,0.842,0.6,3.7,4.3,3.0,0.8,0.3,2.5,1.7,21.2,
49.0,Jordan Poole,25.0,WAS,SG,47.0,47.0,31.4,6.9,16.5,0.418,3.5,9.5,0.371,3.4,7.0,0.48,0.524,3.9,4.4,0.875,0.5,2.7,3.2,4.9,1.4,0.5,3.4,3.2,21.2,
