Area,Year,Unemployment Rate
Albany City,1990,4.2
Albany City,1991,6.6
Albany City,1992,7.1
Albany City,1993,6.0
Albany City,1994,5.7
Albany City,1995,5.8
Albany City,1996,5.2
Albany City,1997,4.7
Albany City,1998,4.2
Albany City,1999,4.0
Albany City,2000,3.7
Albany City,2001,3.8
Albany City,2002,4.6
Albany City,2003,5.0
Albany City,2004,5.0
Albany City,2005,4.6
Albany City,2006,4.6
Albany City,2007,4.5
Albany City,2008,5.6
Albany City,2009,8.1
Albany City,2010,8.4
Albany City,2011,8.2
Albany City,2012,8.5
Albany City,2013,7.3
Albany City,2014,5.8
Albany City,2015,5.2
Albany City,2016,4.9
Albany City,2017,5.0
Albany City,2018,4.4
Albany City,2019,4.2
Albany City,2020,9.0
Albany City,2021,5.8
Albany City,2022,3.9
Albany City,2023,4.1
Albany City,2024,4.4
Albany County,1990,3.0
Albany County,1991,4.7
Albany County,1992,5.1
Albany County,1993,4.3
Albany County,1994,4.1
Albany County,1995,4.1
Albany County,1996,3.8
Albany County,1997,3.4
Albany County,1998,3.0
Albany County,1999,2.8
Albany County,2000,3.3
Albany County,2001,3.4
Albany County,2002,4.0
Albany County,2003,4.3
Albany County,2004,4.2
Albany County,2005,3.9
Albany County,2006,3.8
Albany County,2007,3.8
Albany County,2008,4.8
Albany County,2009,6.9
Albany County,2010,7.1
Albany County,2011,7.0
Albany County,2012,7.2
Albany County,2013,6.2
Albany County,2014,4.9
Albany County,2015,4.4
Albany County,2016,4.1
Albany County,2017,4.2
Albany County,2018,3.7
Albany County,2019,3.5
Albany County,2020,6.9
Albany County,2021,4.4
Albany County,2022,3.1
Albany County,2023,3.3
Albany County,2024,3.6
Albany-Rensselaer-Schenectady Counties,1990,3.5
Albany-Rensselaer-Schenectady Counties,1991,5.4
Albany-Rensselaer-Schenectady Counties,1992,5.8
Albany-Rensselaer-Schenectady Counties,1993,4.8
Albany-Rensselaer-Schenectady Counties,1994,4.6
Albany-Rensselaer-Schenectady Counties,1995,4.7
Albany-Rensselaer-Schenectady Counties,1996,4.3
Albany-Rensselaer-Schenectady Counties,1997,3.9
Albany-Rensselaer-Schenectady Counties,1998,3.5
Albany-Rensselaer-Schenectady Counties,1999,3.2
Albany-Rensselaer-Schenectady Counties,2000,3.4
Albany-Rensselaer-Schenectady Counties,2001,3.5
Albany-Rensselaer-Schenectady Counties,2002,4.2
Albany-Rensselaer-Schenectady Counties,2003,4.5
Albany-Rensselaer-Schenectady Counties,2004,4.4
Albany-Rensselaer-Schenectady Counties,2005,4.1
Albany-Rensselaer-Schenectady Counties,2006,4.0
Albany-Rensselaer-Schenectady Counties,2007,4.0
Albany-Rensselaer-Schenectady Counties,2008,4.9
Albany-Rensselaer-Schenectady Counties,2009,7.2
Albany-Rensselaer-Schenectady Counties,2010,7.5
Albany-Rensselaer-Schenectady Counties,2011,7.3
Albany-Rensselaer-Schenectady Counties,2012,7.5
Albany-Rensselaer-Schenectady Counties,2013,6.5
Albany-Rensselaer-Schenectady Counties,2014,5.2
Albany-Rensselaer-Schenectady Counties,2015,4.6
Albany-Rensselaer-Schenectady Counties,2016,4.2
Albany-Rensselaer-Schenectady Counties,2017,4.3
Albany-Rensselaer-Schenectady Counties,2018,3.8
Albany-Rensselaer-Schenectady Counties,2019,3.6
